block_size,implementation,sample_rate_msps,replications,block_period_ms,median_service_ms,median_latency_ms,p99_latency_ms,deadline_miss_fraction,drop_fraction,max_queue_depth,real_time_factor
8192,cpu,10.0,3,0.8191999999999999,0.4936759942211211,0.5508434260264039,0.7324700942263,0.004914004914004914,0.0,1,1.6593879580725053
8192,cpu,18.0,3,0.4551111111111111,0.33355000778101385,0.3923725744243711,1.0037179369828666,0.3321201091901729,0.0,6,1.364446411315649
8192,cpu,22.0,3,0.3723636363636364,0.3155195008730516,0.43429670040495694,3.1493982436950323,0.6269545793000745,0.0014892032762472078,8,1.1801604507274366
8192,cpu,30.0,3,0.2730666666666667,0.3155684971716255,2.7362945838831365,4.343139005068222,1.0,0.18400218400218402,8,0.8653166241690985
8192,gpu_pageable,10.0,3,0.8191999999999999,0.3231570008210838,0.3817675169557333,0.6978518154937774,0.0,0.0,1,2.534990725618075
8192,gpu_pageable,18.0,3,0.4551111111111111,0.27834549837280065,0.3317767259432003,0.3615301940590143,0.001364877161055505,0.0,1,1.6350582774705424
8192,gpu_pageable,22.0,3,0.3723636363636364,0.2644674968905747,0.3176081372657791,0.34962926147272816,0.0014892032762472078,0.0,1,1.4079750469968129
8192,gpu_pageable,30.0,3,0.2730666666666667,0.25930898846127093,0.3125217917840928,0.4950804146938027,0.853944853944854,0.0,3,1.0530551535719346
8192,gpu_pinned,10.0,3,0.8191999999999999,0.3179609775543213,0.37687993608415127,0.6921618885826318,0.0,0.0,1,2.5764167864279686
8192,gpu_pinned,18.0,3,0.4551111111111111,0.28163151000626385,0.33657008316367865,0.35993942263303325,0.00045495905368516835,0.0,1,1.6159807938429505
8192,gpu_pinned,22.0,3,0.3723636363636364,0.25913750869221985,0.31285599106922746,0.35006726102437824,0.0026061057334326137,0.0,5,1.4369345381254564
8192,gpu_pinned,30.0,3,0.2730666666666667,0.2564710157457739,0.3079213493037969,0.49990442756097775,0.8203658203658204,0.0,2,1.064707705362477
8192,gpu_resident,10.0,3,0.8191999999999999,0.30939499265514314,0.3700417873915285,0.6728470383677632,0.000819000819000819,0.0,1,2.647748087226137
8192,gpu_resident,18.0,3,0.4551111111111111,0.2695174916880205,0.3247614367865026,0.3457218033145182,0.00272975432211101,0.0,2,1.6886143762347126
8192,gpu_resident,22.0,3,0.3723636363636364,0.264433489064686,0.3179854975314811,0.33444199070800096,0.004095309009679821,0.0,1,1.4081561215287235
8192,gpu_resident,30.0,3,0.2730666666666667,0.24988400400616229,0.28798196581192315,0.3438919218024239,0.7286377286377287,0.0,2,1.0927736961503653
32768,cpu,20.0,3,1.6383999999999999,1.1626749765127897,1.231871749041602,1.4997110149124635,0.0016366612111292963,0.0,1,1.4091642403056202
32768,cpu,30.0,3,1.0922666666666667,0.991473498288542,1.1494050704641268,2.165474455978256,0.5665938864628821,0.0,3,1.1016599723059783
