block_size,implementation,sample_rate_msps,replications,block_period_ms,median_service_ms,median_latency_ms,p99_latency_ms,deadline_miss_fraction,drop_fraction,max_queue_depth,real_time_factor
32768,cpu,20.0,3,1.6383999999999999,1.1539280094439164,1.227005646796897,1.5106630205991676,0.0,0.0,1,1.419845940640225
32768,cpu,30.0,3,1.0922666666666667,0.9696074994280934,1.0470937850186601,2.650279173685696,0.4434250764525994,0.0,5,1.1265039382543158
32768,cpu,40.0,3,0.8191999999999999,0.9820859995670617,8.60747293336317,10.303499427391214,1.0,0.18922018348623854,8,0.83414283510928
32768,gpu_pinned,40.0,3,0.8191999999999999,0.3328915045130998,0.3926768258679658,0.7020806419313885,0.000163826998689384,0.0,2,2.460861839049315
32768,gpu_pinned,80.0,3,0.40959999999999996,0.29539800016209483,0.3494971460895613,0.369290006638039,0.002785058977719528,0.0,2,1.3866038354194636
32768,gpu_pinned,110.0,3,0.2978909090909091,0.2623150066938251,0.29972364427521825,0.33259721123613417,0.5050342567768841,0.0,5,1.1356228255694432
131072,cpu,20.0,3,6.553599999999999,4.687853012001142,4.8426387656945735,5.590805715182796,0.0,0.0,1,1.397996051331484
131072,cpu,30.0,3,4.369066666666667,4.407058993820101,37.012376997154206,41.614889242337085,1.0,0.010480349344978166,8,0.991379210669358
131072,cpu,40.0,3,3.2767999999999997,4.331869495217688,37.77133300900459,42.37016908824444,1.0,0.2516382699868938,8,0.7564401475200332
131072,gpu_pinned,100.0,3,1.31072,0.4318089922890067,0.5642408214043826,0.8174451941158623,0.0,0.0,1,3.0354161756843276
131072,gpu_pinned,300.0,3,0.43690666666666667,0.2677710144780576,0.3224278043489903,0.33988620270974934,0.0007863695937090433,0.0,1,1.6316428703767292
131072,gpu_pinned,450.0,3,0.2912711111111111,0.2590449876151979,0.2946407475974411,0.33064968476537615,0.5251354342634124,0.0,5,1.1244035786702191
