block_size,implementation,replications,median_block_ms,sustained_msps,median_upload_ms,median_device_ms,median_download_ms
8192,cpu,3,0.37033006265119184,22.12080742609308,0.0,,0.0
8192,gpu_pageable,3,0.27128331203130074,30.19721315941028,0.011033999908249825,0.2154500000178814,0.02921399986371398
8192,gpu_pinned,3,0.26886025079875253,30.469360850711553,0.009246000088751316,0.21566399931907654,0.02888799994252622
8192,gpu_resident,3,0.2629896880534943,31.14951031210653,0.0,0.2197959991171956,0.028615999966859818
32768,cpu,3,1.0287169989169342,31.853269688844637,0.0,,0.0
32768,gpu_pageable,3,0.29635012469952926,110.57191230549886,0.024115999694913626,0.2269019978120923,0.03011000028345734
32768,gpu_pinned,3,0.2821984999172855,116.11684686348278,0.016939999884925783,0.21949800103902817,0.029840000090189278
32768,gpu_resident,3,0.2684124992811121,122.08075289996694,0.0,0.22588600032031536,0.02783200005069375
131072,cpu,3,4.430714312547934,29.582588890644477,0.0,,0.0
131072,gpu_pageable,3,0.3137456878903322,417.76510421974433,0.07663399912416935,0.19159599766135216,0.028948000050149858
131072,gpu_pinned,3,0.2630503131513251,498.27730075576125,0.04563199984841049,0.17517000064253807,0.027128000161610544
131072,gpu_resident,3,0.25506749989290256,513.8718184599542,0.0,0.21436999924480915,0.02681000006850809
524288,cpu,3,16.32396331297059,32.117690413051506,0.0,,0.0
524288,gpu_pageable,3,0.5204334993322846,1007.4063269806052,0.25944799743592734,0.21648200042545795,0.03045599989127368
524288,gpu_pinned,3,0.3632999378169188,1443.127139383683,0.16339000035077333,0.1622159983962774,0.025028000120073557
524288,gpu_resident,3,0.2621841886139009,1999.6934322079956,0.0,0.22026600036770105,0.027366000111214817
