dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,256,"{""n_probes"":256}",0.95;0.99,3,0.11866174700116972,51200128,54232735,565444608,1067909120,3,1.0,1.0,7.85262200224679,0.030674304696276522,32600.575951160437,0.95;0.99,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_pq_balanced,256,"{""n_probes"":128}",0.80,3,0.8466377799995826,51200128,8023209,506724352,1011286016,3,0.8609375,0.86015625,8.362704997125547,0.03266681639502167,30612.104586732767,0.80,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,brute_force,1024,{},1.00,3,0.022285587998339906,51200128,51601186,299106304,801570816,3,1.0,1.0,7.209736999357119,0.007040758788434687,142030.14618859306,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,1024,"{""itopk_size"":256,""search_width"":4}",0.95,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.98232421875,0.981640625,7.665771001484245,0.007486104493636958,133580.82309029755,0.95,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,1024,"{""itopk_size"":32,""search_width"":1}",0.80,3,0.5476557900037733,51200128,76801848,531890176,1067909120,2,0.88857421875,0.878515625,1.0285190001013689,0.001004413086036493,995606.3037231948,0.80,finite,90726.37933678878,90726.37933678878,9072.637933678878,907.2637933678878,90.72637933678878
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,1024,"{""itopk_size"":64,""search_width"":2}",0.90,3,0.5476557900037733,51200128,76801848,531890176,531890176,1,0.93515625,0.93349609375,2.0073949999641627,0.0019603466796525026,510113.85403385037,0.90,finite,107797.51293346375,107797.51293346375,10779.751293346375,1077.9751293346374,107.79751293346375
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,1024,"{""n_probes"":128}",0.80;0.90,3,0.11866174700116972,51200128,54232735,565444608,1067909120,3,0.93369140625,0.92900390625,14.617793000070378,0.014275188476631229,70051.61449440896,0.80;0.90,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,1024,"{""n_probes"":256}",0.95;0.99,3,0.11866174700116972,51200128,54232735,565444608,1067909120,3,1.0,1.0,29.37570700305514,0.028687213870171036,34858.735481447366,0.95;0.99,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_pq_balanced,1024,"{""n_probes"":128}",0.80,3,0.8466377799995826,51200128,8023209,506724352,1011286016,3,0.8650390625,0.8615234375,33.23617499700049,0.03245720214550829,30809.80287570439,0.80,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,brute_force,1,{},1.00,3,0.024398552006459795,512000128,516001186,764674048,1267138560,2,1.0,1.0,1.7016479978337884,1.7016479978337884,587.6656049153573,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,1,"{""n_probes"":1024}",0.90;0.95;0.99,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,1.0,1.0,1.354187996184919,1.354187996184919,738.4499071157373,0.90;0.95;0.99,finite,1137.6495542758773,1137.6495542758773,113.76495542758774,11.376495542758773,1.1376495542758773
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,brute_force,32,{},1.00,3,0.024398552006459795,512000128,516001186,764674048,1267138560,3,1.0,1.0,3.7504389983951114,0.11720121869984723,8532.334485027872,1.00,reference,0.0,0.0,0.0,0.0,0.0
