dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,1,"{""itopk_size"":128,""search_width"":4}",0.80,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.6,0.4,0.24235599994426593,0.24235599994426593,4126.161515415207,,finite,2925.0272848310174,2925.0272848310174,292.50272848310175,29.250272848310175,2.9250272848310175
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_pq_balanced,1,"{""n_probes"":256}",0.80,3,0.8466377799995826,51200128,8023209,506724352,1011286016,3,0.9,0.7,0.1837920062826015,0.1837920062826015,5440.93304287883,,finite,3444.4874560144162,3444.4874560144162,344.4487456014416,34.444874560144164,3.444487456014416
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,1,"{""n_probes"":256}",0.80,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,0.8,0.6,0.4786099962075241,0.4786099962075241,2089.383857261524,,finite,323.20149944557795,323.20149944557795,32.3201499445578,3.2320149944557794,0.32320149944557797
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,1,"{""n_probes"":256}",0.90;0.95;0.99,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.9,0.8,1.1241039974265732,1.1241039974265732,889.5974058355043,,finite,299.94935786619124,299.94935786619124,29.994935786619124,2.9994935786619124,0.29994935786619126
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,1,"{""n_probes"":64}",0.80,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.6,0.6,0.4191979969618842,0.4191979969618842,2385.5075817333295,,finite,269.02307913233636,269.02307913233636,26.902307913233635,2.690230791323364,0.26902307913233636
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_pq_balanced,32,"{""n_probes"":128}",0.80,3,3.610281881999981,2560000128,365238697,3371433984,3875995648,3,0.79375,0.790625,1.943797993590124,0.060743687299691373,16462.616025699856,,finite,6977.948344682643,6977.948344682643,697.7948344682643,69.77948344682643,6.977948344682644
