run_id,profile,repetition,phase,step_order,workload,rows_in,rows_out,input_bytes,output_bytes,elapsed_ms,rows_per_second,peak_rss_bytes,snapshot_before,snapshot_after,correctness,details_json
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,2,ingest_batch,55500000,55500000,1265628741,7634468726,6592.46,8418709.03,271753216,489,492,True,"{""customers"":5000000,""managed_files"":26,""orders"":50000000,""products"":500000}"
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,3,prepare_and_model,50000000,49999000,0,7535762330,21780.848,2295594.7,3509817344,492,498,True,"{""accepted"":49999000,""daily_rows"":1800,""managed_files"":24,""quarantined"":1000}"
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,4,apply_incremental,2500000,51249050,189300928,7634661452,17649.252,141649.06,3586904064,498,504,True,"{""after_rows"":51249050,""before_rows"":49999000,""managed_files"":26,""operations"":{""delete"":250000,""insert"":1500000,""update"":750000}}"
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,5,process_events,100000000,99990000,17839972303,7634698659,41440.886,2413075.83,3384537088,504,508,True,"{""accepted"":99990000,""managed_files"":26,""quarantined"":10000,""sessions"":14285715}"
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,6,validate_quality,151250050,6,0,7634698659,5599.494,,1519140864,508,509,True,"{""managed_files"":26,""metrics"":{""events_accepted"":99990000.0,""events_quarantined"":10000.0,""fact_revenue"":19266352338.98,""orders_accepted"":51249050.0,""orders_quarantined"":1000.0,""sessions"":14285715.0}}"
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,4,measured,7,query_history,101248050,2,0,7634698659,600.497,168607059.05,243281920,509,509,True,"{""current_revenue"":19266352338.98,""current_rows"":51249050,""historical_revenue"":18914757625.39,""historical_rows"":49999000,""historical_snapshot"":498,""managed_files"":26}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,1,generate_sources,0,158000000,0,19294901972,108510.97,1456073.98,143704064,511,511,True,"{""changes"":2500000,""customers"":5000000,""events"":100000000,""orders"":50000000,""products"":500000,""seed"":20260901}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,2,ingest_batch,55500000,55500000,1265628741,7634698675,6638.202,8360698.3,273108992,511,514,True,"{""customers"":5000000,""managed_files"":26,""orders"":50000000,""products"":500000}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,3,prepare_and_model,50000000,49999000,0,7535836359,21642.983,2310217.54,3512385536,514,520,True,"{""accepted"":49999000,""daily_rows"":1800,""managed_files"":24,""quarantined"":1000}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,4,apply_incremental,2500000,51249050,189300928,7634920800,17440.861,143341.54,3580968960,520,526,True,"{""after_rows"":51249050,""before_rows"":49999000,""managed_files"":26,""operations"":{""delete"":250000,""insert"":1500000,""update"":750000}}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,5,process_events,100000000,99990000,17839972303,7634870831,42038.425,2378776.07,3364368384,526,530,True,"{""accepted"":99990000,""managed_files"":26,""quarantined"":10000,""sessions"":14285715}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,6,validate_quality,151250050,6,0,7634870831,5489.402,,1527582720,530,531,True,"{""managed_files"":26,""metrics"":{""events_accepted"":99990000.0,""events_quarantined"":10000.0,""fact_revenue"":19266352338.98,""orders_accepted"":51249050.0,""orders_quarantined"":1000.0,""sessions"":14285715.0}}"
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,5,measured,7,query_history,101248050,2,0,7634870831,585.885,172812244.46,237486080,531,531,True,"{""current_revenue"":19266352338.98,""current_rows"":51249050,""historical_revenue"":18914757625.39,""historical_rows"":49999000,""historical_snapshot"":520,""managed_files"":26}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,1,generate_sources,0,158000000,0,19294901972,166074.223,951381.84,144584704,401,401,True,"{""changes"":2500000,""customers"":5000000,""events"":100000000,""orders"":50000000,""products"":500000,""seed"":20260901}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,2,ingest_batch,55500000,55500000,1265628741,2531911918,7456.078,7443591.46,273166336,401,404,True,"{""customers"":5000000,""managed_files"":18,""orders"":50000000,""products"":500000}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,3,prepare_and_model,50000000,49999000,0,4707829799,25397.421,1968703.84,3519008768,404,410,True,"{""accepted"":49999000,""daily_rows"":1800,""managed_files"":20,""quarantined"":1000}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,4,apply_incremental,2500000,51249050,189300928,4850687100,20822.075,120064.88,3586252800,410,416,True,"{""after_rows"":51249050,""before_rows"":49999000,""managed_files"":22,""operations"":{""delete"":250000,""insert"":1500000,""update"":750000}}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,5,process_events,100000000,99990000,17839972303,7635209615,44895.917,2227374.02,3386302464,416,420,True,"{""accepted"":99990000,""managed_files"":26,""quarantined"":10000,""sessions"":14285715}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,6,validate_quality,151250050,6,0,7635209615,5735.363,,1519661056,420,421,True,"{""managed_files"":26,""metrics"":{""events_accepted"":99990000.0,""events_quarantined"":10000.0,""fact_revenue"":19266352338.98,""orders_accepted"":51249050.0,""orders_quarantined"":1000.0,""sessions"":14285715.0}}"
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,0,warmup,7,query_history,101248050,2,0,7635209615,635.439,159335568.11,244129792,421,421,True,"{""current_revenue"":19266352338.98,""current_rows"":51249050,""historical_revenue"":18914757625.39,""historical_rows"":49999000,""historical_snapshot"":410,""managed_files"":26}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,1,generate_sources,0,31600000,0,3831174183,32229.735,980461.04,139182080,291,291,True,"{""changes"":500000,""customers"":1000000,""events"":20000000,""orders"":10000000,""products"":100000,""seed"":20260901}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,2,ingest_batch,11100000,11100000,253048554,1527051226,2332.398,4759051.37,241967104,291,294,True,"{""customers"":1000000,""managed_files"":16,""orders"":10000000,""products"":100000}"
