matrix_id,source_commit,case_id,sweep,operation,axis,axis_value,points,features,vertices,radius_fraction,window_low,window_high,cpu_workers,warmups,trials,replications,cpu_ingest_seconds_median,cpu_ingest_seconds_min,cpu_ingest_seconds_max,cpu_index_build_seconds_median,cpu_index_build_seconds_min,cpu_index_build_seconds_max,cpu_candidate_seconds_median,cpu_candidate_seconds_min,cpu_candidate_seconds_max,cpu_exact_seconds_median,cpu_exact_seconds_min,cpu_exact_seconds_max,cpu_query_seconds_median,cpu_query_seconds_min,cpu_query_seconds_max,cpu_materialize_seconds_median,cpu_materialize_seconds_min,cpu_materialize_seconds_max,cpu_end_to_end_seconds_median,cpu_end_to_end_seconds_min,cpu_end_to_end_seconds_max,gpu_ingest_seconds_median,gpu_ingest_seconds_min,gpu_ingest_seconds_max,gpu_index_build_seconds_median,gpu_index_build_seconds_min,gpu_index_build_seconds_max,gpu_candidate_seconds_median,gpu_candidate_seconds_min,gpu_candidate_seconds_max,gpu_exact_seconds_median,gpu_exact_seconds_min,gpu_exact_seconds_max,gpu_query_seconds_median,gpu_query_seconds_min,gpu_query_seconds_max,gpu_materialize_seconds_median,gpu_materialize_seconds_min,gpu_materialize_seconds_max,gpu_end_to_end_seconds_median,gpu_end_to_end_seconds_min,gpu_end_to_end_seconds_max,gpu_end_to_end_speedup,gpu_resident_query_speedup,reused_index_break_even_queries_median,materialized_reuse_break_even_queries_median,matches,cpu_candidate_pairs,cpu_rss_bytes_max,cpu_gpu_used_bytes_max,gpu_candidate_pairs,gpu_rss_bytes_max,gpu_gpu_used_bytes_max,maximum_absolute_distance_error,maximum_relative_distance_error
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,direct_scale-100000-b82ad5dab8,direct_scale,direct_pip,points,100000,100000,16,17,,,,8,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07527550899249036,0.07502226300130133,0.07565321799484082,0.0021403020073194057,0.002083850995404646,0.0022103619994595647,0.077359359987895,0.07716256500862073,0.07786357999430038,0.034860325016779825,0.03410343699215446,0.03542993200244382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015117988994461484,0.015083321995916776,0.015425792007590644,0.004602364992024377,0.004522287010331638,0.004603670007782057,0.05446593402302824,0.05413289900752716,0.05515028598892968,1.4203255920514906,4.979201203286213,1,1,44467,,389591040,749142016,,752496640,761724928,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,direct_scale-1000000-7b77e5e8df,direct_scale,direct_pip,points,1000000,1000000,16,17,,,,8,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7520860670047114,0.7077992100093979,0.759217629005434,0.022772801996325143,0.022374085005139932,0.02300372300669551,0.7748588690010365,0.7301732950145379,0.7822213520121295,0.03748985398851801,0.037288270992576145,0.03827652499603573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03326836800260935,0.033253431000048295,0.03361913000117056,0.035935503008659,0.03526394898653962,0.03624421599670313,0.10649214200384449,0.10600723397510592,0.10813987099390943,7.27620699913298,22.606641448288737,1,1,445663,,401920000,749142016,,827482112,856096768,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,direct_scale-10000000-5c66b43b4b,direct_scale,direct_pip,points,10000000,10000000,16,17,,,,8,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.530628485998022,7.20383917199797,7.6565349099982996,0.21702858299249783,0.21661679600947537,0.21772699199209455,7.747245282007498,7.4215661639900645,7.873563492990797,0.11654047899355646,0.11540304699155968,0.11755269099376164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20118473199545406,0.20112698701268528,0.20122686600370798,0.3623459480004385,0.3607651009951951,0.36266190800233744,0.680113292997703,0.67729513499944,0.6813993309915531,11.391109925024894,37.43141147593737,1,1,4448883,,546799616,749142016,,1529679872,1785135104,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_features-16-f87b93ee74,join_features,indexed_join,features,16,10000000,16,17,,,,8,1,3,3,1.3405156060034642,1.3385986189969117,1.3617944889992941,2.4952998501248658e-05,2.4901004508137703e-05,2.5542001822032034e-05,0.06815009900310542,0.06550464899919461,0.06972040499385912,0.310549671004992,0.31015174600179307,0.31249822600511834,0.381983245984884,0.3759036970004672,0.38221863099897746,0.011713191008311696,0.011442853006883524,0.012082615998224355,1.7346070099883946,1.7262404600041918,1.7554808740096632,0.09387911499652546,0.08922829701623414,0.09783149701252114,0.05670986800396349,0.05514890000631567,0.058526046996121295,0.001549051987240091,0.0015357430092990398,0.0015517770079895854,0.01842294799280353,0.018280161006259732,0.018427194998366758,0.01997162599582225,0.019828916018013842,0.01997334699262865,0.01584297099907417,0.01583827199647203,0.015869188006035984,0.18640530099219177,0.18359515801421367,0.18864758503332268,9.30556695949894,19.126296780481912,0,0,4448883,6030844,2990936064,749142016,6302834,2587291648,1214709760,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_features-256-b1fd8247a9,join_features,indexed_join,features,256,10000000,256,17,,,,8,1,3,3,1.3267312579991994,1.3207000920083374,1.327219665996381,5.6119999499060214e-05,5.579400749411434e-05,5.8420991990715265e-05,0.09937635899404995,0.09847404299944174,0.10703503500553779,0.31725841500156093,0.31704367201018613,0.31811444100458175,0.4151586420048261,0.4143976769846631,0.4242934500070987,0.011369062995072454,0.011164032999658957,0.011480304005090147,1.7526676599809434,1.7470785610203166,1.7629382989980513,0.09657623601378873,0.09393793699564412,0.09693827599403448,0.0567788510088576,0.05624847000581212,0.0601951150019886,0.0016032160056056455,0.0016009829996619374,0.001611501007573679,0.019010620002518408,0.018915337001089938,0.01902251700812485,0.020622503987397067,0.0205322350084316,0.020642633011448197,0.01567726000212133,0.01556687599804718,0.015741891009383835,0.1900370200164616,0.18655080199823715,0.1928704620222561,9.222769646825244,20.13134012526025,0,0,4447851,6032863,3008339968,749142016,6933713,2610823168,1214709760,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_features-4096-55044318d3,join_features,indexed_join,features,4096,10000000,4096,17,,,,8,1,3,3,1.3438420620077522,1.3349165680119768,1.3539226569992024,0.0006103710038587451,0.0006034899997757748,0.0006311470060609281,0.21958227700088173,0.2102623440005118,0.22906829199928325,0.33342808499583043,0.33300928899552673,0.3392081179918023,0.5541079740069108,0.5500781230075518,0.5610915379947983,0.011627445011981763,0.011575313008506782,0.01186591999430675,1.9061058690276695,1.9015216090192553,1.9272451300057583,0.20093319499574136,0.19456316401192453,0.20334411700605415,0.056507267989218235,0.0552797849959461,0.0573793149960693,0.0015670299908379093,0.0015610569971613586,0.0015693450113758445,0.022390932994312607,0.02237117300683167,0.022502396008349024,0.02394126598665025,0.02393302599375602,0.02406272701045964,0.015767921999213286,0.01565330699668266,0.015831630997126922,0.29720511997584254,0.28955213699373417,0.30043946600926574,6.4134355060323385,23.14447257366773,0,0,4444722,6034804,2986971136,749142016,9998821,2637000704,1216806912,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_scale-100000-ea4e622a93,join_scale,indexed_join,points,100000,100000,1024,17,,,,8,1,3,3,0.012683367996942252,0.012085773996659555,0.012833697997848503,0.0001212370116263628,0.00011755299055948853,0.000122204000945203,0.002532086000428535,0.002484106007614173,0.002687547996174544,0.004027091999887489,0.004005663999123499,0.004033083998365328,0.006565169998793863,0.006541291004396044,0.006714639996062033,5.99490012973547e-05,5.5222000810317695e-05,6.3671002862975e-05,0.019560864006052725,0.018832130008377135,0.01957078298437409,0.06093363699619658,0.06081938400166109,0.06112911200034432,0.03562964098819066,0.03391945900511928,0.035843814999680035,0.0009085999918170273,0.0009024020109791309,0.0009151889971690252,0.004429851993336342,0.0044267089979257435,0.004483698998228647,0.005335308989742771,0.005329667998012155,0.005402177004725672,0.0012453870003810152,0.00124136901285965,0.0012501869932748377,0.10314313297567423,0.10162524900806602,0.10331076300644781,0.189647758815568,1.230513548777685,68,,44384,60354,414437376,749142016,99991,751136768,757530624,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_scale-1000000-4403a6d40b,join_scale,indexed_join,points,1000000,1000000,1024,17,,,,8,1,3,3,0.13812431901169475,0.13511141600611154,0.14363999900524504,0.00016569400031585246,0.0001610850013094023,0.00017031699826475233,0.016396659004385583,0.01629434099595528,0.016565544006880373,0.03640107100363821,0.036143707009614445,0.03769517499313224,0.05287652599508874,0.052872794985887595,0.05422206499497406,0.0032168320030905306,0.0030401510011870414,0.0032200600107898936,0.1942113130062353,0.19271923501219135,0.19989071099553257,0.05095425799663644,0.05073916001128964,0.051176164983189665,0.027737643002183177,0.023807637000572868,0.032815060010761954,0.0013436890003504232,0.0013099469942972064,0.0013791789970127866,0.0067744359985226765,0.006688068999210373,0.006866220006486401,0.0081181249988731,0.007998015993507579,0.008245399003499188,0.006052944008843042,0.005995587009238079,0.006103347011958249,0.09296476798772346,0.08887560700532049,0.09790296603750903,2.089085114824167,6.513391454606659,0,0,444874,603343,650911744,749142016,942812,836378624,799473664,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_scale-10000000-1b2b4be734,join_scale,indexed_join,points,10000000,10000000,1024,17,,,,8,1,3,3,1.3341743329947349,1.3208758719993057,1.3525532930070767,0.00017023399414028972,0.00016604999836999923,0.00017953400674741715,0.15565999399404973,0.15452788899710868,0.1631497659982415,0.33949989698885474,0.3369179430010263,0.34488740099186543,0.5056567900028313,0.492577936995076,0.5059391969844,0.011577876008232124,0.011084281009971164,0.011703571988618933,1.851363860987476,1.8384064679848962,1.8568886400171323,0.1203768970008241,0.11583320499630645,0.12253369600512087,0.056485934008378536,0.05526603100588545,0.05860124100581743,0.0016759449936216697,0.001661976013565436,0.0016802140016807243,0.020391986006870866,0.02038868899398949,0.02050935100123752,0.022068902995670214,0.02203617201303132,0.022192065996932797,0.0159417380054947,0.015843187997234054,0.01595586899202317,0.21352228801697493,0.21258238099107984,0.21703027101466432,8.670588340830694,22.912638208706525,0,0,4444679,6031229,3005591552,749142016,8385619,2594152448,1214709760,0.0,0.0
ea50b93f1817b252,621212fd37cb221cc8322c50cc4f5ea663a34064,join_scale-100000000-632d0c0f49,join_scale,indexed_join,points,100000000,100000000,1024,17,,,,8,1,3,3,12.797313178001787,12.792821709008422,12.840495329000987,0.0001581840042490512,0.0001543669932289049,0.0001723040040815249,1.597978587000398,1.5889386330090929,1.610969761008164,3.9360025510104606,3.8799272640026174,3.9572576119971927,5.531074955011718,5.48351360601373,5.543678381989594,0.07554604900360573,0.07453592200181447,0.07718019100138918,18.412218444005703,18.358161342010135,18.44626439001877,0.5768676849984331,0.568371808010852,0.5770698419946712,0.34178425300342496,0.3416116400039755,0.342717633000575,0.0018486170010874048,0.001838969998061657,0.0018585109937703237,0.16120807400147896,0.1611788269947283,0.16229153399763163,0.16306278899719473,0.16303552099270746,0.16411794499435928,0.11544013599632308,0.11306771299859975,0.11830727499909699,1.1957158199948026,1.1924086680082837,1.1973297519871267,15.398490290180936,33.919908944442696,0,0,44476149,60349134,23729664000,749142016,83864197,18791936000,5262213120,0.0,0.0
