run_id,rows,parquet_bytes,logical_bytes,topology,udf_width,mode,python_bridge,replication,median_seconds,min_seconds,max_seconds,gpu_plan_lines,python_plan_lines,transitions,gpu_utilization_mean_percent,gpu_memory_used_max_bytes,gpu_energy_joules_estimate,process_tree_cpu_cores_mean,process_tree_rss_max_bytes,correct,trials
spark-0148b8555c6f,50000000,4916004014,8649999480,udf_two_islands,1,gpu,forced-cpu,1,2.5594832499991753,2.4847611719960696,2.634205328002281,25,2,5,16.213675213675216,25046745088.0,65.26246181121748,15.541003770781078,22686445568.0,True,2
spark-028a5823cafa,50000000,4916004014,8649999480,udf_before_filter_4,4,cpu,forced-cpu,1,1.929746902500483,1.8292605329988874,2.0302332720020786,0,1,2,0.0,25015287808.0,31.588902084931327,17.106645680593758,30548471808.0,True,2
spark-0412ba85ba83,50000000,4916004014,8649999480,udf_before_filter_1,1,gpu,forced-cpu,2,1.3505429479992017,1.3197319280006923,1.3813539679977112,22,1,3,5.7023809523809526,25046745088.0,34.89162560404601,13.180709906707893,16330158080.0,True,2
spark-083f65da4727,50000000,4916004014,8649999480,udf_before_filter_1,1,cpu,forced-cpu,0,1.3262381454987917,1.2749721609943663,1.3775041300032171,0,1,2,0.0,25015287808.0,21.30411998791726,15.316105185140229,21394444288.0,True,2
spark-0c4815d27379,50000000,4916004014,8649999480,udf_after_filter_1,1,gpu,forced-cpu,0,1.1911388269982126,1.1082348429990816,1.2740428109973436,19,1,3,16.458333333333336,25046745088.0,33.980310184694574,12.851129460958276,16706330624.0,True,2
spark-139db78c5e45,50000000,4916004014,8649999480,udf_post_aggregate,0,cpu,forced-cpu,1,0.9048184730017965,0.8701348920003511,0.9395020540032419,0,1,2,0.0,25015287808.0,15.030680515366907,13.113383862982591,18557190144.0,True,2
spark-147750a5b76c,50000000,4916004014,8649999480,udf_before_filter_12,12,gpu,forced-cpu,0,3.3309320185035176,3.240215830002853,3.421648207004182,22,1,3,31.002164502164504,25046745088.0,102.7793187811059,16.80063075365015,32531382272.0,True,2
spark-1fca80c2037c,50000000,4916004014,8649999480,udf_two_islands,1,cpu,forced-cpu,0,1.929850479500601,1.8107117580002523,2.04898920100095,0,2,2,0.0,25015287808.0,31.1682138452771,17.277128307523128,27400085504.0,True,2
spark-24d2eeae3368,50000000,4916004014,8649999480,udf_before_filter_8,8,gpu,forced-cpu,1,2.654379322004388,2.6171675690056873,2.691591075003089,22,1,3,38.73677248677249,25046745088.0,82.16575129761415,15.518979414277325,19521335296.0,True,2
spark-2dc6e83724b7,50000000,4916004014,8649999480,udf_after_filter_1,1,gpu,forced-cpu,1,1.107379833003506,1.0755078880029032,1.139251778004109,19,1,3,23.320512820512818,25046745088.0,32.79132378160081,13.11171829982241,16023375872.0,True,2
spark-2e2836c3c3c9,50000000,4916004014,8649999480,native,0,gpu,forced-cpu,2,0.5050013434956782,0.4746569759954582,0.5353457109958981,18,0,1,10.833333333333334,25036259328.0,13.670619073330709,8.581432603807166,10728730624.0,True,2
spark-34669e8f8061,50000000,4916004014,8649999480,udf_before_filter_8,8,cpu,forced-cpu,1,2.7671586414980993,2.7006210399995325,2.833696242996666,0,1,2,0.0,25015287808.0,45.548350013148934,17.672989520908992,41362366464.0,True,2
spark-39c330d2f88e,50000000,4916004014,8649999480,udf_two_islands,1,gpu,forced-cpu,2,2.634596084997611,2.54173888299556,2.727453286999662,25,2,5,14.898351648351648,25046745088.0,65.92326845727695,15.726570052405062,23959932928.0,True,2
spark-3b2b746fbef7,50000000,4916004014,8649999480,udf_before_filter_8,8,cpu,forced-cpu,2,2.811968264995812,2.6592191269955947,2.9647174029960297,0,1,2,0.0,25015287808.0,46.19013040545828,17.631623814588092,48314724352.0,True,2
spark-3caf8fa89bb7,50000000,4916004014,8649999480,udf_before_filter_1,1,cpu,forced-cpu,2,1.312056474496785,1.2022021919983672,1.421910756995203,0,1,2,0.0,25015287808.0,20.98200984771931,15.001605367603998,22899752960.0,True,2
spark-3e969cfd88d7,50000000,4916004014,8649999480,udf_after_filter_1,1,gpu,forced-cpu,2,1.113314955997339,1.0849114689990529,1.141718442995625,19,1,3,22.208333333333332,25046745088.0,30.85258087217086,12.797888100958001,16221552640.0,True,2
spark-3fc0e0f07861,50000000,4916004014,8649999480,udf_before_filter_12,12,cpu,forced-cpu,2,3.6921128520007187,3.633699438003532,3.7505262659979053,0,1,2,0.0,25015287808.0,60.45740479635711,18.43130239843436,49197948928.0,True,2
spark-53c81b220bb5,50000000,4916004014,8649999480,udf_before_filter_4,4,cpu,forced-cpu,2,2.0223559299993212,1.8195533739999519,2.2251584859986906,0,1,2,0.0,25015287808.0,32.977873531082565,16.45669058343605,36327759872.0,True,2
spark-569ae7ccd35f,50000000,4916004014,8649999480,udf_post_aggregate,0,cpu,forced-cpu,2,0.9402229369989072,0.8701400459976867,1.0103058280001278,0,1,2,0.0,25015287808.0,15.549970528687869,12.959381562342678,21354303488.0,True,2
spark-5b1b26600cb4,50000000,4916004014,8649999480,udf_after_filter_1,1,cpu,forced-cpu,0,1.166056584999751,1.0774356179972528,1.2546775520022493,0,1,2,0.0,25015287808.0,19.12542025596274,14.669468311422825,20912705536.0,True,2
spark-5cb5da6bbc85,50000000,4916004014,8649999480,udf_post_aggregate,0,gpu,forced-cpu,2,0.7628625064971857,0.7350356089955312,0.7906894039988401,21,1,3,5.388888888888889,25044647936.0,20.283994512700374,12.366564074154795,15150055424.0,True,2
spark-5d8198e2d0aa,50000000,4916004014,8649999480,native,0,gpu,forced-cpu,0,0.5109946880002099,0.490857060001872,0.5311323159985477,18,0,1,7.25,25036259328.0,13.52293252725168,7.986866712569878,10706538496.0,True,2
spark-603c28bcf1ad,50000000,4916004014,8649999480,native,0,cpu,forced-cpu,1,0.5715076634987781,0.5503710140037583,0.5926443129937979,0,0,2,0.0,25015287808.0,9.4547384372238,10.771039321566974,13836951552.0,True,2
spark-6785ef947c55,50000000,4916004014,8649999480,udf_post_aggregate,0,gpu,forced-cpu,0,0.7892849314994237,0.7369680319970939,0.8416018310017535,21,1,3,3.811111111111111,25042550784.0,22.273789687140667,12.142654575514923,14982205440.0,True,2
