launches_per_trial,implementation,replications,wall_microseconds_per_launch,wall_microseconds_per_launch_min,wall_microseconds_per_launch_max,device_microseconds_per_launch,device_microseconds_per_launch_min,device_microseconds_per_launch_max,cold_compile_seconds
1,cupy_add,3,12.479984434321523,12.075004633516073,12.514006812125444,7.391999941319227,7.071999832987785,7.584000006318092,0.10024030599743128
1,raw_touch,3,9.58601594902575,9.55001451075077,10.442017810419202,4.544000141322613,4.383999854326248,5.344000179320574,0.10024030599743128
10,cupy_add,3,4.390400135889649,4.379299934953451,4.403200000524521,3.903999924659729,3.903999924659729,3.9168000221252437,0.10023093898780644
10,raw_touch,3,2.666999353095889,2.6269990485161543,2.9376999009400606,2.204800024628639,2.1568000316619873,2.4127999320626254,0.10023093898780644
100,cupy_add,3,3.6537600681185722,3.537509765010327,3.684020193759352,3.6070400476455693,3.4911999106407166,3.6374399065971375,0.11637008198886178
100,raw_touch,3,2.059399848803878,2.0509399473667145,2.0902801770716906,2.01664000749588,2.0019200444221497,2.040639966726303,0.11637008198886178
1000,cupy_add,3,3.403079026611522,3.3863550052046776,3.5909739963244647,3.3980159759521484,3.382240056991577,3.5857279300689697,0.10111686200252734
1000,raw_touch,3,2.0018280192743987,1.9393079855944964,2.022139000473544,1.9966399669647215,1.934239983558655,2.017024040222168,0.10111686200252734
