dataset_id,rows,features,input_gib,clusters,informative_features,cluster_scale,mode,replications,total_seconds,total_seconds_min,total_seconds_max,fixed_seconds,repeat_inference_seconds,roc_auc,transfer_count,host_to_device_gib,device_to_host_gib,peak_gpu_memory_gib,load_seconds,host_to_device_seconds,device_to_host_seconds,scale_seconds,feature_engineering_seconds,pca_seconds,train_seconds,inference_seconds,materialize_seconds,speedup_vs_cpu,quality_gap_vs_cpu,break_even_inference_reuses
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,accel,3,0.048316894986783154,0.04812247499648947,0.05234331100655254,0.047509345997241326,0.0008075489895418286,0.9519289067068123,0.0,0.0,0.0,1.04925537109375,0.0015108439984032884,0.0,0.0,0.010571890001301654,0.0065806200000224635,0.017877808000775985,0.010380444000475109,0.0008068879978964105,6.609916454181075e-07,1.1094798830216226,-3.1762100161092377e-07,
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,cpu,3,0.053606622997904196,0.05318302700470667,0.05365460399480071,0.05336906199227087,0.00023756100563332438,0.9519292243278139,0.0,0.0,0.0,0.468994140625,0.0017809339915402234,0.0,0.0,0.009454443003050983,0.0056788090005284175,0.018684852999285795,0.018054883010336198,0.0002369050052948296,6.560003384947777e-07,1.0,0.0,
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,cpu_to_gpu,3,0.03663500599213876,0.03625564799585845,0.037619599999743514,0.0362523299845634,0.00038267600757535547,0.9519289067068123,2.0,0.010728836059570312,0.0002980232238769531,0.94183349609375,0.002137620991561562,0.0014690670068375766,0.0,0.009625785009120591,0.005522942999959923,0.004752799999550916,0.0066385199897922575,0.0003215120086679235,6.116399890743196e-05,1.463262296433287,-3.1762100161092377e-07,
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,gpu_resident,3,0.02714468700287398,0.026253534000716172,0.03475574099866208,0.026775435006129555,0.0003692519967444241,0.9519289733047643,2.0,0.006258487701416016,0.0002980232238769531,0.95355224609375,0.0008479559910483658,0.000904556000023149,0.0,0.011138518995721824,0.0010743000020738691,0.004534185994998552,0.006527641002321616,0.0003067859943257645,6.246600241865963e-05,1.974847711164565,-2.510230495689214e-07,
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,ping_pong,3,0.03884266299428418,0.03399114200146869,0.04024251400551293,0.03845263099356089,0.0003900320007232949,0.9519280614251149,4.0,0.016689300537109375,0.006258487701416016,0.95355224609375,0.002058550002402626,0.002269800999783911,0.0017681019962765276,0.011021822996553965,0.006319369014818221,0.004628929993486963,0.008668783004395664,0.00032808999822009355,6.194200250320137e-05,1.3800964935332207,-1.1629026990256364e-06,
r100000-f256-c09c5a1c18ca,100000,256,0.095367431640625,16,8,3.0,accel,3,0.22153768000134733,0.21803554298821837,0.2276218000042718,0.22064787200361025,0.0008898079977370799,0.9516812200072269,0.0,0.0,0.0,1.29144287109375,0.014432740994379856,0.0,0.0,0.05437298498873133,0.02250578798702918,0.12056240200763568,0.0066646530030993745,0.0008891899924492463,6.180052878335118e-07,1.8617818828515498,-1.7283095181674923e-06,
r100000-f256-c09c5a1c18ca,100000,256,0.095367431640625,16,8,3.0,cpu,3,0.41245483899547253,0.4075666589924367,0.4146089400019264,0.4121107340033632,0.00034410499210935086,0.951682948316745,0.0,0.0,0.0,0.468994140625,0.017184953001560643,0.0,0.0,0.1236892270098906,0.02206725200812798,0.22650599799817428,0.01985974601120688,0.000343463005265221,6.419868441298604e-07,1.0,0.0,
r100000-f256-c09c5a1c18ca,100000,256,0.095367431640625,16,8,3.0,cpu_to_gpu,3,0.17214404100377578,0.1721218839957146,0.17340222701022867,0.17175295401830226,0.00039108698547352105,0.951681214878712,2.0,0.10013580322265625,0.0002980232238769531,1.10784912109375,0.014966928996727802,0.008827495985315181,0.0,0.10950819798745215,0.02176290101488121,0.011776626008213498,0.005258752993540838,0.00032710799132473767,6.397899414878339e-05,2.3959867364007437,-1.7334380330025212e-06,
r100000-f256-c09c5a1c18ca,100000,256,0.095367431640625,16,8,3.0,gpu_resident,3,0.06708397199690808,0.0669602260022657,0.06714134900539648,0.06669633599813096,0.00038763599877711385,0.951681261035346,2.0,0.09566545486450195,0.0002980232238769531,1.30316162109375,0.01296192899462767,0.008453418005956337,0.0,0.02658445600536652,0.0016230859910137951,0.01163706999795977,0.005208461006986909,0.0003244709951104596,6.316500366665423e-05,6.148336580524521,-1.6872813990431723e-06,
r100000-f256-c09c5a1c18ca,100000,256,0.095367431640625,16,8,3.0,ping_pong,3,0.11346390101243742,0.11323217301105615,0.11361797699646559,0.113073307016748,0.00039059399568941444,0.951681220007227,4.0,0.19550323486328125,0.09566545486450195,1.29925537109375,0.015115337999304757,0.01708938901720103,0.014296323002781719,0.02654496900504455,0.022827333988971077,0.011812652010121383,0.0052072709950152785,0.00032852998992893845,6.206400576047599e-05,3.635119498934388,-1.72830951805647e-06,
r100000-f64-95c45761708e,100000,64,0.02384185791015625,16,8,3.0,accel,3,0.08682628399401437,0.08310703399183694,0.08966183300071862,0.08596200498868711,0.000864279005327262,0.9520529821665099,0.0,0.0,0.0,1.05316162109375,0.00485721199947875,0.0,0.0,0.021650444992701523,0.011421860996051691,0.03771220799535513,0.012948258998221718,0.0008636620041215792,6.170012056827545e-07,1.4136005405504801,7.269050863456528e-07,
r100000-f64-95c45761708e,100000,64,0.02384185791015625,16,8,3.0,cpu,3,0.12273768198792823,0.1215089340112172,0.1333660929958569,0.12243582398514263,0.00030185800278559327,0.9520522552614236,0.0,0.0,0.0,0.468994140625,0.004459652001969516,0.0,0.0,0.03655978399910964,0.011663730998407118,0.05152249299862888,0.019493527011945844,0.0003012320084962994,6.259942892938852e-07,1.0,0.0,
r100000-f64-95c45761708e,100000,64,0.02384185791015625,16,8,3.0,cpu_to_gpu,3,0.07001791099901311,0.06227092299377546,0.07383607300289441,0.06962400799966417,0.00039390299934893847,0.9520521631185253,2.0,0.0286102294921875,0.0002980232238769531,0.97113037109375,0.004822200004127808,0.0029677589918719605,0.0,0.03003468799579423,0.011096948990598321,0.007254759999341331,0.009828846988966689,0.0003313170018373057,6.258599751163274e-05,1.75294692796045,-9.2142898311387e-08,
r100000-f64-95c45761708e,100000,64,0.02384185791015625,16,8,3.0,gpu_resident,3,0.04354993200104218,0.04060869000386447,0.044472506997408345,0.04316410700266715,0.00038582499837502837,0.9520549837150225,2.0,0.024139881134033203,0.0002980232238769531,1.02777099609375,0.002533400009269826,0.002435094997053966,0.0,0.021230957994703203,0.0010963340027956292,0.00696089600387495,0.005891391992918216,0.0003248900029575452,6.093499541748315e-05,2.8183208640828883,2.728453598943581e-06,
r100000-f64-95c45761708e,100000,64,0.02384185791015625,16,8,3.0,ping_pong,3,0.0730020519986283,0.060922417003894225,0.07432917700498365,0.07261349599866662,0.00038855599996168166,0.9520526494282662,4.0,0.05245208740234375,0.024139881134033203,1.03167724609375,0.004798088993993588,0.005087047989945859,0.00459395999496337,0.02135300700319931,0.011200808017747477,0.0071516530006192625,0.006091360002756119,0.0003257749922340736,6.278100772760808e-05,1.6812908490604408,3.941668426099554e-07,
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,accel,3,0.9053260060027242,0.8969525330030592,0.914592980989255,0.9022799500089604,0.00304605599376373,0.9513491443416521,0.0,0.0,0.0,1.66448974609375,0.03605443199921865,0.0,0.0,0.19006654398981482,0.14938645300571807,0.47493788797874004,0.05375069299770985,0.0030454119987552986,6.43995008431375e-07,2.1033436291137866,-2.4851879897314078e-06,
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,cpu,3,1.9042116869968595,1.9026326530001825,1.9165181360003771,1.9022974899999099,0.001914196996949613,0.9513516295296418,0.0,0.0,0.0,0.468994140625,0.04340813000453636,0.0,0.0,0.29293273999064695,0.14865591599664185,1.2014999370003352,0.21405203299946152,0.0019133710011374205,8.259958121925592e-07,1.0,0.0,
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,cpu_to_gpu,3,0.6134523609944154,0.605380448003416,0.621949084001244,0.6117939020041376,0.0016584589902777225,0.9513487704267402,2.0,0.286102294921875,0.0029802322387695312,1.48089599609375,0.036006519003422,0.024919197006965987,0.0,0.2956672879954567,0.1501695729966741,0.061163666992797516,0.044383672007825226,0.0006555499858222902,0.0010029090044554323,3.104090566886244,-2.8591029016533653e-06,0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,gpu_resident,3,0.4018463079992216,0.4012228409992531,0.42100048300926574,0.3999734810058726,0.0018728269933490083,0.9513485863046821,2.0,0.24139881134033203,0.0029802322387695312,1.96722412109375,0.03603159298654646,0.021008208001148887,0.0,0.23991059200488962,0.008664157998282462,0.061009997996734455,0.043463196998345666,0.00047162499686237425,0.001401201996486634,4.738656668211937,-3.0432249596978878e-06,0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,ping_pong,3,0.6092255889961962,0.5977585979999276,0.6221412080049049,0.6077839939971454,0.0014415949990507215,0.9513477973488156,4.0,0.5245208740234375,0.24139881134033203,1.96722412109375,0.03622795999399386,0.045631246000994,0.03621571700205095,0.23922569300339092,0.15035206399625167,0.06122248699830379,0.039781669998774305,0.00048642000183463097,0.0009551749972160906,3.125626568205015,-3.832180826224274e-06,0
r20000-f64-0f6bcc768ebd,20000,64,0.00476837158203125,16,8,3.0,accel,3,0.025713002003612928,0.025356736994581297,0.02577511100389529,0.025241874987841584,0.0004711270157713443,0.9453512883809947,0.0,0.0,0.0,1.01409912109375,0.0018637089960975572,0.0,0.0,0.008966120003606193,0.0019497879984555766,0.008577361004427075,0.004409114000736736,0.0004704990133177489,6.280024535953999e-07,1.0220406783831946,3.3387060820455616e-06,
r20000-f64-0f6bcc768ebd,20000,64,0.00476837158203125,16,8,3.0,cpu,3,0.026279734011041,0.026053930007037707,0.02889567999227438,0.026147202006541193,0.00013253200449980795,0.9453479496749126,0.0,0.0,0.0,0.468994140625,0.0012623569928109646,0.0,0.0,0.006266636002692394,0.0014599429996451363,0.012604812989593484,0.005327241000486538,0.00013192600454203784,6.059999577701092e-07,1.0,0.0,
r20000-f64-0f6bcc768ebd,20000,64,0.00476837158203125,16,8,3.0,cpu_to_gpu,3,0.014428257010877132,0.014395513993804343,0.02745504600170534,0.014097604012931697,0.00033065299794543535,0.9453512883809947,2.0,0.0057220458984375,5.9604644775390625e-05,0.93206787109375,0.000732549000531435,0.000833412996144034,0.0,0.004369237998616882,0.0014221590099623427,0.0028809159994125366,0.003889377010636963,0.0003046540077775717,2.5998990167863667e-05,1.821407394616641,3.3387060820455616e-06,
r20000-f64-0f6bcc768ebd,20000,64,0.00476837158203125,16,8,3.0,gpu_resident,3,0.014212100999429822,0.014056896005058661,0.014346317009767517,0.013898961013182998,0.00031313998624682426,0.9453512883809947,2.0,0.004827976226806641,5.9604644775390625e-05,0.93988037109375,0.0007200219988590106,0.0008342200017068535,0.0,0.005114282990689389,0.0007453149883076549,0.0027392350166337565,0.003731104006874375,0.0002869869931600988,2.6152993086725473e-05,1.8491097137640187,3.3387060820455616e-06,
r20000-f64-0f6bcc768ebd,20000,64,0.00476837158203125,16,8,3.0,ping_pong,3,0.018418204999761656,0.018101396010024473,0.018531890003941953,0.018098525004461408,0.00031967999530024827,0.9453512883809947,4.0,0.01049041748046875,0.004827976226806641,0.94183349609375,0.00177370200981386,0.0014846069825580344,0.0015319909871323034,0.0051266780064906925,0.0018461829895386472,0.0027740109944716096,0.0036971430090488866,0.0002946129970951006,2.5066998205147684e-05,1.4268347003077162,3.3387060820455616e-06,
r5000-f64-581056c4e9b4,5000,64,0.0011920928955078125,16,8,3.0,accel,3,0.015130090992897749,0.014855654997518286,0.015375196002423763,0.014679171988973394,0.0004509190039243549,0.9543510888341404,0.0,0.0,0.0,1.03753662109375,0.0004591999895637855,0.0,0.0,0.004822199989575893,0.00031981700158212334,0.004081218998180702,0.0050226190069224685,0.00045039500400889665,5.23999915458262e-07,1.017725802547629,-4.0454547294288545e-06,
r5000-f64-581056c4e9b4,5000,64,0.0011920928955078125,16,8,3.0,cpu,3,0.015398283998365514,0.014198094999301247,0.015594762997352518,0.015302218991564587,9.606500680092722e-05,0.9543551342888699,0.0,0.0,0.0,0.468994140625,0.00046162000217009336,0.0,0.0,0.0013363979815039784,0.0002787220000755042,0.011005685009877197,0.002113780996296555,9.566500375512987e-05,4.00003045797348e-07,1.0,0.0,
