dataset_id,rows,features,input_gib,clusters,informative_features,cluster_scale,algorithm,engine,replications,load_seconds,explicit_transfer_seconds,fit_seconds,fit_seconds_min,fit_seconds_max,one_shot_fit_seconds,one_shot_fit_seconds_min,one_shot_fit_seconds_max,quality_metric,quality_value,peak_gpu_memory_gib,fit_energy_joules,fit_speedup_vs_cpu,one_shot_speedup_vs_cpu,quality_gap_vs_cpu
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,logistic_regression,accel,3,0.05498643300961703,0.0,0.29255938400456216,0.265040300990222,0.30732701798842754,0.3472590849996777,0.32002673399983905,0.36322107099113055,roc_auc,0.9908706659297506,1.24456787109375,6.8112497853919045,0.969912361407887,0.9914936825685382,-8.229529575576322e-07
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,logistic_regression,cpu,3,0.06026266601111274,0.0,0.2837569629919017,0.28337721100251656,0.2843968119996134,0.3443051889917115,0.3431238039920572,0.34465947801072616,roc_auc,0.9908714888827082,0.468994140625,3.6864206052117514,1.0,1.0,0.0
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,logistic_regression,native_gpu,3,0.0608182699943427,0.15368020300229546,0.18383069199626334,0.1403781330009224,0.21025065099820495,0.39800646298681386,0.35715926499688067,0.4247295279928949,roc_auc,0.9908707681599318,1.20941162109375,3.308966554897896,1.543577734003577,0.865074366903229,-7.207227763483814e-07
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,pca,accel,3,0.05458557298697997,0.0,0.44220000600034837,0.4411286899994593,0.444829447005759,0.49671365700487513,0.4957142629864393,0.49970652000047266,explained_variance_ratio_sum,0.08410365134477615,1.27972412109375,8.392496704720454,4.049162957286474,3.7269061981849307,1.6391277313232422e-07
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,pca,cpu,3,0.06093735000467859,0.0,1.7905398840084672,1.7865292979986407,1.8058629750012187,1.8512052070145728,1.8474666480033193,1.8679952069942374,explained_variance_ratio_sum,0.08410348743200302,0.468994140625,13.46074984121353,1.0,1.0,0.0
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,pca,native_gpu,3,0.06117763899965212,0.15586133798933588,0.041285829996922985,0.0397107209864771,0.041482453991193324,0.2580593360034982,0.2561678549827775,0.25941540198982693,explained_variance_ratio_sum,0.08410363644361496,1.57464599609375,0.3238554365703312,43.36935660835486,7.173564172037854,1.4901161193847656e-07
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,xgboost,cpu,3,0.06042164198879618,0.0,23.409156078996602,23.379663647996495,23.469337432004977,23.46968055400066,23.439652192988433,23.529759073993773,roc_auc,0.9907687373277385,0.69378662109375,173.8992691451157,1.0,1.0,0.0
r100000-f1024-c85e5bc9f5b6,100000,1024,0.3814697265625,16,8,3.0,xgboost,native_gpu,3,0.060522927989950404,0.15548170200781897,6.052242343997932,6.0497218660020735,6.0524579220073065,6.26960680699267,6.265079300021171,6.276191762008239,roc_auc,0.9908872323305893,2.26214599609375,393.0540443052396,3.8678484350864917,3.743405492003783,0.00011849500285077141
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,hdbscan,accel,3,0.001959799003088847,0.0,0.5483926120068645,0.5477526460017543,0.551357600998017,0.5503524110099534,0.5497038030007388,0.5538843980029924,adjusted_rand_score,0.9999465777382499,1.14300537109375,23.04197681487602,3.0752959176942105,3.0681952876199827,-4.003583105860464e-05
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,hdbscan,cpu,3,0.002132420995621942,0.0,1.6864695609983755,1.653336584000499,1.716595899008098,1.6885886739910347,1.6561463539983379,1.71872832000372,adjusted_rand_score,0.9999866135693085,0.468994140625,17.04540858424603,1.0,1.0,0.0
