dataset_id,algorithm,engine,batch_size,latency_ms,latency_ms_min,latency_ms_max,rows_per_second,speedup_vs_cpu,break_even_batches
r100000-f1024-c85e5bc9f5b6,logistic_regression,accel,1,0.42610200762283057,0.42275001760572195,0.44486999104265124,2346.8558751433116,0.1599311811376375,
r100000-f1024-c85e5bc9f5b6,logistic_regression,accel,256,0.6410290079656988,0.622847001068294,0.728461003745906,399357.90240197437,0.15398991146161858,
r100000-f1024-c85e5bc9f5b6,logistic_regression,accel,4096,2.7891009958693758,2.5583210081094876,2.829692995874211,1468573.567635638,0.24705953825476243,
r100000-f1024-c85e5bc9f5b6,logistic_regression,cpu,1,0.0681469973642379,0.06716500502079725,0.07019298209343106,14674.160838739737,1.0,
r100000-f1024-c85e5bc9f5b6,logistic_regression,cpu,256,0.09871200018096715,0.09729400335345417,0.1063390081981197,2593403.0262853475,1.0,
r100000-f1024-c85e5bc9f5b6,logistic_regression,cpu,4096,0.689074004185386,0.6860980065539479,0.7153690094128251,5944209.148975568,1.0,
r100000-f1024-c85e5bc9f5b6,logistic_regression,native_gpu,1,0.3039459843421355,0.29983199783600867,0.3315030044177547,3290.058271914375,0.22420759238433804,
r100000-f1024-c85e5bc9f5b6,logistic_regression,native_gpu,256,0.2509259938960895,0.24368199228774756,0.26200599677395076,1020221.1258591714,0.39339089047045717,
r100000-f1024-c85e5bc9f5b6,logistic_regression,native_gpu,4096,0.25955399905797094,0.2504720032447949,0.2672520058695227,15780916.55249421,2.6548387105816946,126
r100000-f1024-c85e5bc9f5b6,pca,accel,1,0.24175700673367828,0.2400279772700742,0.25943499349523336,4136.384767129455,0.24989136790960798,
r100000-f1024-c85e5bc9f5b6,pca,accel,256,0.8116999961202964,0.7772039825795218,0.8527809841325507,315387.4599280644,0.133848703358373,
r100000-f1024-c85e5bc9f5b6,pca,accel,4096,14.19753000664059,14.113526995060965,14.222110010450706,288500.88699120085,0.05658765972748256,
r100000-f1024-c85e5bc9f5b6,pca,cpu,1,0.060412989114411175,0.05893899651709944,0.061695012846030295,16552.731699902855,1.0,
r100000-f1024-c85e5bc9f5b6,pca,cpu,256,0.10864499199669808,0.10326899064239115,0.1088720018742606,2356298.2084602695,1.0,
r100000-f1024-c85e5bc9f5b6,pca,cpu,4096,0.8034049969865009,0.79414299398195,0.834370992379263,5098300.378219856,1.0,
r100000-f1024-c85e5bc9f5b6,pca,native_gpu,1,0.16123199020512402,0.16073799633886665,0.18039900169242173,6202.243107759018,0.3746960453539773,
r100000-f1024-c85e5bc9f5b6,pca,native_gpu,256,0.23541401606053114,0.22626500867772847,0.24138498702086508,1087445.8721020913,0.46150604715380494,
r100000-f1024-c85e5bc9f5b6,pca,native_gpu,4096,0.46624998503830284,0.4585650021908805,0.47605400322936475,8784986.877079492,1.723120692262329,0
r100000-f1024-c85e5bc9f5b6,xgboost,cpu,1,0.7589750166516751,0.7363900076597929,0.8512819913448766,1317.5664258510649,1.0,
r100000-f1024-c85e5bc9f5b6,xgboost,cpu,256,1.0369990050094202,0.716346999979578,1.1374420137144625,246866.1963640693,1.0,
